"행정구역","2026년01월_거주자_총인구수","2026년01월_거주자_연령구간인구수","2026년01월_거주자_0~9세","2026년01월_거주자_10~19세","2026년01월_거주자_20~29세","2026년01월_거주자_30~39세","2026년01월_거주자_40~49세","2026년01월_거주자_50~59세","2026년01월_거주자_60~69세","2026년01월_거주자_70~79세","2026년01월_거주자_80~89세","2026년01월_거주자_90~99세","2026년01월_거주자_100세 이상","2026년01월_남_거주자_총인구수","2026년01월_남_거주자_연령구간인구수","2026년01월_남_거주자_0~9세","2026년01월_남_거주자_10~19세","2026년01월_남_거주자_20~29세","2026년01월_남_거주자_30~39세","2026년01월_남_거주자_40~49세","2026년01월_남_거주자_50~59세","2026년01월_남_거주자_60~69세","2026년01월_남_거주자_70~79세","2026년01월_남_거주자_80~89세","2026년01월_남_거주자_90~99세","2026년01월_남_거주자_100세 이상","2026년01월_여_거주자_총인구수","2026년01월_여_거주자_연령구간인구수","2026년01월_여_거주자_0~9세","2026년01월_여_거주자_10~19세","2026년01월_여_거주자_20~29세","2026년01월_여_거주자_30~39세","2026년01월_여_거주자_40~49세","2026년01월_여_거주자_50~59세","2026년01월_여_거주자_60~69세","2026년01월_여_거주자_70~79세","2026년01월_여_거주자_80~89세","2026년01월_여_거주자_90~99세","2026년01월_여_거주자_100세 이상","2026년02월_거주자_총인구수","2026년02월_거주자_연령구간인구수","2026년02월_거주자_0~9세","2026년02월_거주자_10~19세","2026년02월_거주자_20~29세","2026년02월_거주자_30~39세","2026년02월_거주자_40~49세","2026년02월_거주자_50~59세","2026년02월_거주자_60~69세","2026년02월_거주자_70~79세","2026년02월_거주자_80~89세","2026년02월_거주자_90~99세","2026년02월_거주자_100세 이상","2026년02월_남_거주자_총인구수","2026년02월_남_거주자_연령구간인구수","2026년02월_남_거주자_0~9세","2026년02월_남_거주자_10~19세","2026년02월_남_거주자_20~29세","2026년02월_남_거주자_30~39세","2026년02월_남_거주자_40~49세","2026년02월_남_거주자_50~59세","2026년02월_남_거주자_60~69세","2026년02월_남_거주자_70~79세","2026년02월_남_거주자_80~89세","2026년02월_남_거주자_90~99세","2026년02월_남_거주자_100세 이상","2026년02월_여_거주자_총인구수","2026년02월_여_거주자_연령구간인구수","2026년02월_여_거주자_0~9세","2026년02월_여_거주자_10~19세","2026년02월_여_거주자_20~29세","2026년02월_여_거주자_30~39세","2026년02월_여_거주자_40~49세","2026년02월_여_거주자_50~59세","2026년02월_여_거주자_60~69세","2026년02월_여_거주자_70~79세","2026년02월_여_거주자_80~89세","2026년02월_여_거주자_90~99세","2026년02월_여_거주자_100세 이상","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상","2026년05월_거주자_총인구수","2026년05월_거주자_연령구간인구수","2026년05월_거주자_0~9세","2026년05월_거주자_10~19세","2026년05월_거주자_20~29세","2026년05월_거주자_30~39세","2026년05월_거주자_40~49세","2026년05월_거주자_50~59세","2026년05월_거주자_60~69세","2026년05월_거주자_70~79세","2026년05월_거주자_80~89세","2026년05월_거주자_90~99세","2026년05월_거주자_100세 이상","2026년05월_남_거주자_총인구수","2026년05월_남_거주자_연령구간인구수","2026년05월_남_거주자_0~9세","2026년05월_남_거주자_10~19세","2026년05월_남_거주자_20~29세","2026년05월_남_거주자_30~39세","2026년05월_남_거주자_40~49세","2026년05월_남_거주자_50~59세","2026년05월_남_거주자_60~69세","2026년05월_남_거주자_70~79세","2026년05월_남_거주자_80~89세","2026년05월_남_거주자_90~99세","2026년05월_남_거주자_100세 이상","2026년05월_여_거주자_총인구수","2026년05월_여_거주자_연령구간인구수","2026년05월_여_거주자_0~9세","2026년05월_여_거주자_10~19세","2026년05월_여_거주자_20~29세","2026년05월_여_거주자_30~39세","2026년05월_여_거주자_40~49세","2026년05월_여_거주자_50~59세","2026년05월_여_거주자_60~69세","2026년05월_여_거주자_70~79세","2026년05월_여_거주자_80~89세","2026년05월_여_거주자_90~99세","2026년05월_여_거주자_100세 이상","2026년06월_거주자_총인구수","2026년06월_거주자_연령구간인구수","2026년06월_거주자_0~9세","2026년06월_거주자_10~19세","2026년06월_거주자_20~29세","2026년06월_거주자_30~39세","2026년06월_거주자_40~49세","2026년06월_거주자_50~59세","2026년06월_거주자_60~69세","2026년06월_거주자_70~79세","2026년06월_거주자_80~89세","2026년06월_거주자_90~99세","2026년06월_거주자_100세 이상","2026년06월_남_거주자_총인구수","2026년06월_남_거주자_연령구간인구수","2026년06월_남_거주자_0~9세","2026년06월_남_거주자_10~19세","2026년06월_남_거주자_20~29세","2026년06월_남_거주자_30~39세","2026년06월_남_거주자_40~49세","2026년06월_남_거주자_50~59세","2026년06월_남_거주자_60~69세","2026년06월_남_거주자_70~79세","2026년06월_남_거주자_80~89세","2026년06월_남_거주자_90~99세","2026년06월_남_거주자_100세 이상","2026년06월_여_거주자_총인구수","2026년06월_여_거주자_연령구간인구수","2026년06월_여_거주자_0~9세","2026년06월_여_거주자_10~19세","2026년06월_여_거주자_20~29세","2026년06월_여_거주자_30~39세","2026년06월_여_거주자_40~49세","2026년06월_여_거주자_50~59세","2026년06월_여_거주자_60~69세","2026년06월_여_거주자_70~79세","2026년06월_여_거주자_80~89세","2026년06월_여_거주자_90~99세","2026년06월_여_거주자_100세 이상"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","56,232","56,232","2,287","4,172","5,210","6,148","7,836","9,557","9,867","7,136","3,465","544","10","28,086","28,086","1,173","2,226","2,734","3,320","4,200","5,026","4,828","3,142","1,340","94","3","28,146","28,146","1,114","1,946","2,476","2,828","3,636","4,531","5,039","3,994","2,125","450","7","56,796","56,796","2,346","4,210","5,225","6,320","7,943","9,627","9,889","7,203","3,473","550","10","28,378","28,378","1,198","2,242","2,752","3,421","4,253","5,054","4,840","3,181","1,336","98","3","28,418","28,418","1,148","1,968","2,473","2,899","3,690","4,573","5,049","4,022","2,137","452","7","57,367","57,367","2,395","4,214","5,279","6,504","7,979","9,707","9,953","7,267","3,496","563","10","28,686","28,686","1,227","2,235","2,775","3,529","4,288","5,091","4,886","3,205","1,347","100","3","28,681","28,681","1,168","1,979","2,504","2,975","3,691","4,616","5,067","4,062","2,149","463","7","57,518","57,518","2,385","4,220","5,279","6,536","8,002","9,731","9,968","7,310","3,514","561","12","28,748","28,748","1,222","2,227","2,773","3,535","4,301","5,115","4,895","3,225","1,355","96","4","28,770","28,770","1,163","1,993","2,506","3,001","3,701","4,616","5,073","4,085","2,159","465","8","57,603","57,603","2,387","4,215","5,269","6,553","8,006","9,731","9,977","7,364","3,520","569","12","28,788","28,788","1,214","2,229","2,764","3,549","4,312","5,112","4,901","3,240","1,366","97","4","28,815","28,815","1,173","1,986","2,505","3,004","3,694","4,619","5,076","4,124","2,154","472","8","57,693","57,693","2,385","4,233","5,263","6,553","8,022","9,747","9,963","7,400","3,544","571","12","28,839","28,839","1,214","2,237","2,750","3,548","4,325","5,123","4,902","3,262","1,374","100","4","28,854","28,854","1,171","1,996","2,513","3,005","3,697","4,624","5,061","4,138","2,170","471","8"
"인천광역시 미추홀구 (2817700000)","414,783","414,783","23,062","32,193","48,519","58,114","62,022","68,185","64,502","38,048","17,243","2,828","67","208,243","208,243","11,845","16,525","25,476","31,062","33,016","34,862","31,115","17,086","6,548","701","7","206,540","206,540","11,217","15,668","23,043","27,052","29,006","33,323","33,387","20,962","10,695","2,127","60","414,548","414,548","22,900","32,202","48,374","57,919","61,897","68,211","64,571","38,281","17,268","2,859","66","208,084","208,084","11,741","16,507","25,419","30,942","32,977","34,881","31,142","17,203","6,548","715","9","206,464","206,464","11,159","15,695","22,955","26,977","28,920","33,330","33,429","21,078","10,720","2,144","57","415,120","415,120","22,854","32,498","48,385","58,017","61,746","68,076","64,648","38,571","17,355","2,901","69","208,467","208,467","11,751","16,670","25,510","30,973","32,912","34,825","31,143","17,354","6,593","727","9","206,653","206,653","11,103","15,828","22,875","27,044","28,834","33,251","33,505","21,217","10,762","2,174","60","415,181","415,181","22,834","32,479","48,296","58,045","61,668","68,103","64,657","38,711","17,393","2,926","69","208,547","208,547","11,723","16,706","25,445","30,999","32,888","34,846","31,187","17,384","6,613","747","9","206,634","206,634","11,111","15,773","22,851","27,046","28,780","33,257","33,470","21,327","10,780","2,179","60","415,384","415,384","22,792","32,417","48,336","58,053","61,664","68,083","64,658","38,890","17,467","2,952","72","208,693","208,693","11,718","16,658","25,501","31,013","32,898","34,836","31,184","17,466","6,654","756","9","206,691","206,691","11,074","15,759","22,835","27,040","28,766","33,247","33,474","21,424","10,813","2,196","63","415,885","415,885","22,850","32,419","48,174","58,325","61,810","68,023","64,739","39,005","17,527","2,938","75","208,943","208,943","11,749","16,666","25,397","31,137","32,997","34,794","31,214","17,540","6,678","762","9","206,942","206,942","11,101","15,753","22,777","27,188","28,813","33,229","33,525","21,465","10,849","2,176","66"
"인천광역시 연수구 (2818500000)","408,072","408,072","32,552","47,607","45,025","56,861","70,719","67,861","54,227","22,169","9,130","1,862","59","201,822","201,822","16,598","24,330","23,200","28,255","34,793","33,220","26,968","10,627","3,403","425","3","206,250","206,250","15,954","23,277","21,825","28,606","35,926","34,641","27,259","11,542","5,727","1,437","56","408,289","408,289","32,578","47,540","44,715","56,851","70,829","67,889","54,430","22,385","9,131","1,880","61","201,916","201,916","16,617","24,313","23,003","28,244","34,864","33,226","27,053","10,753","3,414","426","3","206,373","206,373","15,961","23,227","21,712","28,607","35,965","34,663","27,377","11,632","5,717","1,454","58","408,299","408,299","32,477","47,456","44,492","56,953","70,716","67,761","54,709","22,625","9,151","1,896","63","201,930","201,930","16,549","24,283","22,925","28,284","34,788","33,204","27,162","10,878","3,421","431","5","206,369","206,369","15,928","23,173","21,567","28,669","35,928","34,557","27,547","11,747","5,730","1,465","58","408,446","408,446","32,457","47,438","44,407","56,988","70,605","67,801","54,822","22,787","9,168","1,910","63","202,014","202,014","16,552","24,255","22,904","28,293","34,734","33,234","27,211","10,955","3,439","433","4","206,432","206,432","15,905","23,183","21,503","28,695","35,871","34,567","27,611","11,832","5,729","1,477","59","408,559","408,559","32,346","47,485","44,226","57,042","70,578","67,769","54,959","22,973","9,213","1,905","63","202,124","202,124","16,509","24,278","22,829","28,389","34,703","33,202","27,280","11,027","3,470","433","4","206,435","206,435","15,837","23,207","21,397","28,653","35,875","34,567","27,679","11,946","5,743","1,472","59","408,542","408,542","32,252","47,470","44,121","56,980","70,621","67,775","55,026","23,088","9,248","1,898","63","202,116","202,116","16,470","24,240","22,767","28,385","34,724","33,229","27,296","11,071","3,502","428","4","206,426","206,426","15,782","23,230","21,354","28,595","35,897","34,546","27,730","12,017","5,746","1,470","59"
"인천광역시 남동구 (2820000000)","477,309","477,309","23,423","44,299","53,609","60,269","72,048","83,930","78,911","40,932","16,934","2,870","84","236,254","236,254","12,017","22,813","27,539","32,044","36,604","41,530","38,139","18,750","6,182","622","14","241,055","241,055","11,406","21,486","26,070","28,225","35,444","42,400","40,772","22,182","10,752","2,248","70","477,103","477,103","23,230","44,202","53,415","60,154","71,866","83,924","79,036","41,278","16,992","2,919","87","236,186","236,186","11,934","22,773","27,409","32,016","36,529","41,562","38,203","18,906","6,205","634","15","240,917","240,917","11,296","21,429","26,006","28,138","35,337","42,362","40,833","22,372","10,787","2,285","72","476,971","476,971","23,075","44,083","53,206","60,352","71,591","83,705","79,217","41,631","17,068","2,958","85","236,077","236,077","11,850","22,711","27,283","32,118","36,391","41,500","38,239","19,074","6,254","644","13","240,894","240,894","11,225","21,372","25,923","28,234","35,200","42,205","40,978","22,557","10,814","2,314","72","476,861","476,861","22,913","44,060","53,070","60,435","71,387","83,570","79,395","41,846","17,120","2,978","87","236,008","236,008","11,754","22,682","27,220","32,198","36,269","41,474","38,280","19,178","6,282","657","14","240,853","240,853","11,159","21,378","25,850","28,237","35,118","42,096","41,115","22,668","10,838","2,321","73","476,693","476,693","22,789","43,929","52,948","60,402","71,252","83,489","79,523","42,098","17,182","2,997","84","235,933","235,933","11,685","22,618","27,158","32,223","36,177","41,425","38,367","19,287","6,317","663","13","240,760","240,760","11,104","21,311","25,790","28,179","35,075","42,064","41,156","22,811","10,865","2,334","71","476,527","476,527","22,622","43,861","52,807","60,350","71,256","83,366","79,582","42,304","17,304","2,993","82","235,885","235,885","11,590","22,618","27,075","32,210","36,196","41,363","38,423","19,377","6,351","669","13","240,642","240,642","11,032","21,243","25,732","28,140","35,060","42,003","41,159","22,927","10,953","2,324","69"
"인천광역시 부평구 (2823700000)","487,802","487,802","26,116","38,114","54,358","73,548","70,006","82,917","81,130","40,817","17,608","3,116","72","239,326","239,326","13,507","19,597","27,366","38,298","35,797","39,900","39,102","18,543","6,484","722","10","248,476","248,476","12,609","18,517","26,992","35,250","34,209","43,017","42,028","22,274","11,124","2,394","62","487,490","487,490","26,000","38,045","54,022","73,412","69,945","82,803","81,320","41,078","17,645","3,147","73","239,184","239,184","13,457","19,569","27,181","38,221","35,790","39,857","39,221","18,647","6,490","741","10","248,306","248,306","12,543","18,476","26,841","35,191","34,155","42,946","42,099","22,431","11,155","2,406","63","486,983","486,983","25,882","37,969","53,507","73,495","69,708","82,399","81,662","41,403","17,695","3,189","74","238,890","238,890","13,394","19,527","26,946","38,231","35,688","39,687","39,334","18,792","6,525","756","10","248,093","248,093","12,488","18,442","26,561","35,264","34,020","42,712","42,328","22,611","11,170","2,433","64","486,717","486,717","25,799","37,938","53,168","73,518","69,616","82,221","81,844","41,568","17,750","3,217","78","238,661","238,661","13,355","19,486","26,730","38,294","35,584","39,586","39,442","18,860","6,558","755","11","248,056","248,056","12,444","18,452","26,438","35,224","34,032","42,635","42,402","22,708","11,192","2,462","67","486,440","486,440","25,719","37,890","52,871","73,587","69,589","81,968","81,937","41,752","17,791","3,256","80","238,464","238,464","13,307","19,465","26,542","38,316","35,593","39,450","39,480","18,955","6,580","765","11","247,976","247,976","12,412","18,425","26,329","35,271","33,996","42,518","42,457","22,797","11,211","2,491","69","485,819","485,819","25,576","37,897","52,597","73,412","69,511","81,751","81,981","41,904","17,851","3,267","72","238,188","238,188","13,230","19,479","26,419","38,256","35,528","39,328","39,524","19,040","6,602","773","9","247,631","247,631","12,346","18,418","26,178","35,156","33,983","42,423","42,457","22,864","11,249","2,494","63"
"인천광역시 계양구 (2824500000)","276,264","276,264","11,822","21,275","31,382","37,041","36,968","52,144","53,227","21,420","9,201","1,719","65","137,288","137,288","6,038","10,741","16,447","19,723","19,011","25,125","26,424","10,246","3,149","371","13","138,976","138,976","5,784","10,534","14,935","17,318","17,957","27,019","26,803","11,174","6,052","1,348","52","276,009","276,009","11,748","21,205","31,137","36,969","36,902","52,022","53,408","21,614","9,195","1,742","67","137,139","137,139","6,008","10,684","16,316","19,689","18,960","25,104","26,490","10,334","3,158","383","13","138,870","138,870","5,740","10,521","14,821","17,280","17,942","26,918","26,918","11,280","6,037","1,359","54","275,795","275,795","11,702","21,123","30,820","37,065","36,787","51,715","53,658","21,870","9,202","1,787","66","137,023","137,023","5,994","10,633","16,130","19,754","18,909","24,966","26,603","10,455","3,175","392","12","138,772","138,772","5,708","10,490","14,690","17,311","17,878","26,749","27,055","11,415","6,027","1,395","54","275,489","275,489","11,648","21,044","30,608","37,056","36,618","51,612","53,796","22,035","9,187","1,821","64","136,856","136,856","5,965","10,606","16,005","19,759","18,829","24,885","26,679","10,546","3,170","401","11","138,633","138,633","5,683","10,438","14,603","17,297","17,789","26,727","27,117","11,489","6,017","1,420","53","275,223","275,223","11,543","21,020","30,438","36,996","36,537","51,467","53,940","22,181","9,196","1,843","62","136,696","136,696","5,904","10,600","15,905","19,699","18,817","24,821","26,747","10,622","3,164","408","9","138,527","138,527","5,639","10,420","14,533","17,297","17,720","26,646","27,193","11,559","6,032","1,435","53","274,968","274,968","11,508","20,946","30,281","36,924","36,545","51,339","53,995","22,297","9,226","1,850","57","136,546","136,546","5,859","10,571","15,812","19,665","18,837","24,797","26,737","10,683","3,173","405","7","138,422","138,422","5,649","10,375","14,469","17,259","17,708","26,542","27,258","11,614","6,053","1,445","50"
"인천광역시 서구 (2826000000)","653,071","653,071","53,351","67,071","69,476","101,609","112,974","107,038","86,539","37,706","14,535","2,684","88","328,127","328,127","27,351","34,270","35,368","51,611","58,421","53,694","43,524","17,981","5,320","572","15","324,944","324,944","26,000","32,801","34,108","49,998","54,553","53,344","43,015","19,725","9,215","2,112","73","654,153","654,153","53,367","67,110","69,336","101,489","113,247","107,220","86,921","38,077","14,561","2,739","86","328,650","328,650","27,342","34,296","35,253","51,559","58,607","53,782","43,714","18,161","5,337","583","16","325,503","325,503","26,025","32,814","34,083","49,930","54,640","53,438","43,207","19,916","9,224","2,156","70","655,304","655,304","53,329","67,216","68,963","101,992","113,271","107,181","87,362","38,522","14,614","2,772","82","329,141","329,141","27,349","34,320","35,043","51,825","58,599","53,772","43,886","18,389","5,357","587","14","326,163","326,163","25,980","32,896","33,920","50,167","54,672","53,409","43,476","20,133","9,257","2,185","68","656,572","656,572","53,306","67,313","68,857","102,259","113,400","107,397","87,673","38,827","14,661","2,795","84","329,746","329,746","27,346","34,337","34,993","51,977","58,667","53,891","44,027","18,516","5,389","588","15","326,826","326,826","25,960","32,976","33,864","50,282","54,733","53,506","43,646","20,311","9,272","2,207","69","658,052","658,052","53,274","67,511","68,702","102,599","113,570","107,621","88,026","39,116","14,713","2,838","82","330,396","330,396","27,343","34,412","34,887","52,122","58,748","53,966","44,229","18,658","5,422","594","15","327,656","327,656","25,931","33,099","33,815","50,477","54,822","53,655","43,797","20,458","9,291","2,244","67","660,454","660,454","53,489","67,627","68,771","103,309","114,017","107,796","88,291","39,387","14,828","2,857","82","331,619","331,619","27,468","34,463","34,910","52,516","58,957","54,058","44,357","18,794","5,477","604","15","328,835","328,835","26,021","33,164","33,861","50,793","55,060","53,738","43,934","20,593","9,351","2,253","67"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,420","69,420","2,524","4,235","4,128","4,825","6,881","10,641","16,622","11,710","6,453","1,380","21","34,732","34,732","1,308","2,177","2,298","2,622","3,600","5,629","8,336","5,810","2,581","363","8","34,688","34,688","1,216","2,058","1,830","2,203","3,281","5,012","8,286","5,900","3,872","1,017","13","69,402","69,402","2,540","4,225","4,080","4,823","6,879","10,568","16,637","11,766","6,459","1,403","22","34,748","34,748","1,315","2,171","2,288","2,617","3,601","5,591","8,359","5,843","2,587","368","8","34,654","34,654","1,225","2,054","1,792","2,206","3,278","4,977","8,278","5,923","3,872","1,035","14","69,340","69,340","2,519","4,195","4,071","4,817","6,836","10,522","16,643","11,852","6,462","1,400","23","34,703","34,703","1,296","2,162","2,278","2,610","3,579","5,572","8,361","5,880","2,592","365","8","34,637","34,637","1,223","2,033","1,793","2,207","3,257","4,950","8,282","5,972","3,870","1,035","15","69,384","69,384","2,518","4,186","4,065","4,822","6,802","10,523","16,642","11,926","6,462","1,412","26","34,758","34,758","1,299","2,152","2,287","2,614","3,562","5,583","8,352","5,923","2,601","378","7","34,626","34,626","1,219","2,034","1,778","2,208","3,240","4,940","8,290","6,003","3,861","1,034","19","69,410","69,410","2,526","4,166","4,077","4,813","6,779","10,501","16,637","11,988","6,479","1,418","26","34,777","34,777","1,296","2,147","2,300","2,601","3,549","5,574","8,361","5,952","2,612","378","7","34,633","34,633","1,230","2,019","1,777","2,212","3,230","4,927","8,276","6,036","3,867","1,040","19","69,407","69,407","2,508","4,170","4,082","4,787","6,766","10,506","16,649","12,026","6,471","1,418","24","34,776","34,776","1,292","2,147","2,295","2,594","3,545","5,568","8,361","5,978","2,608","382","6","34,631","34,631","1,216","2,023","1,787","2,193","3,221","4,938","8,288","6,048","3,863","1,036","18"
"인천광역시 옹진군 (2872000000)","19,481","19,481","528","873","2,156","1,617","1,868","3,055","4,742","2,991","1,324","311","16","11,122","11,122","257","459","1,537","1,110","1,192","1,815","2,615","1,540","531","65","1","8,359","8,359","271","414","619","507","676","1,240","2,127","1,451","793","246","15","19,377","19,377","513","854","2,124","1,595","1,848","3,042","4,723","3,019","1,332","310","17","11,047","11,047","244","448","1,516","1,096","1,179","1,803","2,605","1,552","536","67","1","8,330","8,330","269","406","608","499","669","1,239","2,118","1,467","796","243","16","19,350","19,350","518","857","2,101","1,589","1,838","3,028","4,706","3,052","1,331","313","17","11,023","11,023","248","451","1,495","1,090","1,168","1,797","2,600","1,568","537","68","1","8,327","8,327","270","406","606","499","670","1,231","2,106","1,484","794","245","16","19,320","19,320","508","858","2,083","1,589","1,837","3,003","4,721","3,059","1,333","314","15","11,010","11,010","241","458","1,483","1,091","1,168","1,777","2,607","1,578","538","68","1","8,310","8,310","267","400","600","498","669","1,226","2,114","1,481","795","246","14","19,301","19,301","507","855","2,048","1,585","1,826","3,010","4,713","3,081","1,345","315","16","11,000","11,000","242","456","1,457","1,093","1,158","1,789","2,601","1,589","546","68","1","8,301","8,301","265","399","591","492","668","1,221","2,112","1,492","799","247","15","19,266","19,266","496","853","2,047","1,560","1,824","3,015","4,705","3,085","1,347","319","15","10,985","10,985","240","461","1,450","1,073","1,156","1,799","2,597","1,591","550","67","1","8,281","8,281","256","392","597","487","668","1,216","2,108","1,494","797","252","14"
